"countystate","countynum","state","county2","population","km","mi","latitude","longitude","file"
"Maricopa Arizona ",4013,"AZ","Maricopa",3817117,23891.057,9224.3887,33.346541,-112.495534,"CO04013"
"Pima Arizona ",4019,"AZ","Pima",980263,23799.648,9189.0967,32.128237,-111.783018,"CO04019"
"Alameda California ",6001,"CA","Alameda",1510271,2127.231,821.328,37.648081,-121.913304,"CO06001"
"Contra Costa California",6013,"CA","Contra Costa",1049025,2081.7539,803.77002,37.919479,-121.951543,"CO06013"
"Fresno California ",6019,"CA","Fresno",930450,15568.942,6011.2021,36.761006,-119.655019,"CO06019"
"Los Angeles California",6037,"CA","Los Angeles",9818605,12304.883,4750.9419,34.196398,-118.261862,"CO06037"
"Orange California ",6059,"CA","Orange",3010232,2455.478,948.06598,33.675687,-117.777207,"CO06059"
"Riverside California ",6065,"CA","Riverside",2189641,18915.77,7303.4199,33.729828,-116.002239,"CO06065"
"Sacramento California ",6067,"CA","Sacramento",1418788,2574.4929,994.01801,38.450011,-121.340441,"CO06067"
"San Bernardino California",6071,"CA","San Bernardino",2035210,52071.258,20104.826,34.85722,-116.181197,"CO06071"
"San Diego California",6073,"CA","San Diego",3095313,11721.469,4525.6851,33.023604,-116.776117,"CO06073"
"Santa Clara California",6085,"CA","Santa Clara",1781642,3377.5181,1304.067,37.220777,-121.690622,"CO06085"
"Broward Florida ",12011,"FL","Broward",1748066,3426.198,1322.8621,26.19352,-80.476658,"CO12011"
"Hillsborough Florida ",12057,"FL","Hillsborough",1229226,3278.314,1265.765,27.90659,-82.349568,"CO12057"
"Miami-Dade Florida ",12086,"FL","Miami-Dade",2496435,6296.7339,2431.1831,25.610494,-80.499045,"CO12086"
"Orange Florida ",12095,"FL","Orange",1145956,2598.4309,1003.26,28.514435,-81.323295,"CO12095"
"Palm Beach Florida",12099,"FL","Palm Beach",1320134,6171.9648,2383.009,26.645763,-80.448673,"CO12099"
"Pinellas Florida ",12103,"FL","Pinellas",916542,1575.042,608.12701,27.903122,-82.739518,"CO12103"
"Fulton Georgia ",13121,"GA","Fulton",920581,1383.895,534.32501,33.790034,-84.468182,"CO13121"
"Honolulu Hawaii ",15003,"HI","Honolulu",953207,5511.6782,2128.071,21.461364,-158.201976,"CO15003"
"Cook Illinois ",17031,"IL","Cook",5194675,4234.2661,1634.859,41.894294,-87.645455,"CO17031"
"Dallas Texas ",19049,"IA","Dallas",66135,1532.4919,591.69897,41.685321,-94.040707,"CO19049"
"Montgomery Maryland ",24031,"MD","Montgomery",971777,1312.989,506.94699,39.137382,-77.203063,"CO24031"
"Oakland Michigan ",26125,"MI","Oakland",1202362,2349.8811,907.29401,42.660452,-83.38421,"CO26125"
"Wayne Michigan ",26163,"MI","Wayne",1820584,1742.2271,672.677,42.284664,-83.261953,"CO26163"
"Hennepin Minnesota ",27053,"MN","Hennepin",1152425,1570.949,606.547,45.006064,-93.475185,"CO27053"
"St. Louis Missouri",29189,"MO","St. Louis",998954,1354.61,523.01801,38.640702,-90.445954,"CO29189"
"Clark Nevada ",32003,"NV","Clark",1951269,20877.406,8060.812,36.214236,-115.013819,"CO32003"
"Bronx New York",36005,"NY","Bronx [10]",1385108,148.867,57.478001,40.848711,-73.852939,"CO36005"
"Kings New York",36047,"NY","Kings [10]",2504700,251.015,96.917999,40.635133,-73.950777,"CO36047"
"Nassau New York",36059,"NY","Nassau",1339532,1173.8719,453.23401,40.729687,-73.589384,"CO36059"
"New York New York ",36061,"NY","New York [10]",1585873,86.999001,33.591,40.776557,-73.970174,"CO36061"
"Queens New York",36081,"NY","Queens [10]",2230722,461.55499,178.207,40.658557,-73.837929,"CO36081"
"Suffolk New York",36103,"NY","Suffolk",1493350,6146.3862,2373.1331,40.943554,-72.692218,"CO36103"
"Westchester New York",36119,"NY","Westchester",949113,1294.9821,499.995,41.15277,-73.745912,"CO36119"
"Mecklenburg North Carolina",37119,"NC","Mecklenburg",919628,1413.899,545.909,35.246862,-80.833832,"CO37119"
"Wake North Carolina",37183,"NC","Wake",900993,2220.4529,857.32202,35.789846,-78.650624,"CO37183"
"Cuyahoga Ohio ",39035,"OH","Cuyahoga",1280122,3226.0549,1245.587,41.760392,-81.724217,"CO39035"
"Franklin Ohio ",39049,"OH","Franklin",1163414,1407.6801,543.508,39.969447,-83.008258,"CO39049"
"Allegheny Pennsylvania ",42003,"PA","Allegheny",1223348,1928.303,744.52301,40.46892,-79.98092,"CO42003"
"Philadelphia Pennsylvania ",42101,"PA","Philadelphia",1526006,369.61099,142.707,40.009376,-75.133346,"CO42101"
"Bexar Texas ",48029,"TX","Bexar",1714773,3253.2471,1256.0861,29.448671,-98.520147,"CO48029"
"Collin Texas ",48085,"TX","Collin",782341,2294.9971,886.104,33.193885,-96.578153,"CO48085"
"Harris Texas ",48201,"TX","Harris",4092459,4603.6592,1777.483,29.857273,-95.393037,"CO48201"
"Tarrant Texas ",48439,"TX","Tarrant",1809034,2336.959,902.30402,32.77204,-97.291291,"CO48439"
"Travis Texas ",48453,"TX","Travis",1024266,2649.5801,1023.008,30.239513,-97.69127,"CO48453"
"Salt Lake Utah",49035,"UT","Salt Lake",1029655,2091.071,807.367,40.667882,-111.924244,"CO49035"
"Fairfax Virginia ",51059,"VA","Fairfax",1081726,1052.172,406.246,38.833743,-77.276117,"CO51059"
"Middlesex Massachusetts ",51119,"VA","Middlesex",10959,545.87097,210.761,37.606828,-76.527958,"CO51119"
"King Washington ",53033,"WA","King",1931249,5974.7632,2306.8689,47.493554,-121.832375,"CO53033"
